製品,제품
資質,자질
材料,재료
裝備,장비
p,261
設備,설비
期待,기대
實行,실행
可能性,가능성
決斷,결단
排列,배열
細分,세분
p,262
活性,활성
點檢,점검
相互,상호
祝辭,축사
競爭,경쟁
時急性,시급성
披瀝,피력
p,263
慾心,욕심
共有,공유
現況,현황
體化,체화
提報,제보
保護,보호
轉換,전환
定着,정착
委員會,위원회
不過,불과
實踐,실천
p,264
趨勢,추세
學校,학교
構築,구축
多數,다수
獨立的,독립적
後援,후원
p,265
討論,토론
餘韻,여운
共同,공동
政府,정부
展望,전망
部處,부처
督勵,독려
民間,민간
p,266
段落,단락
定石,정석
一致,일치
談論,담론
p,267
能率,능률
遵守,준수
深層,심층
p,268
散漫,산만
不實,부실
太半,태반
誠意,성의
推定,추정
平均,평균
p,269
違背,위배
完璧,완벽
模範,모범
緻密,치밀
p,270
筆陣,필진
整頓,정돈
協助,협조
趣向,취향
受容,수용
讀解,독해
分散,분산
p,271
唯一,유일
明快,명쾌
論調,논조
專念,전념
p,272
順理,순리
段落,단락
納得,납득
項目,항목
優秀,우수
p,273
共感,공감
改善,개선
筆者,필자
集團,집단
p,274
呼吸,호흡
浪費,낭비
效率,효율
幅,폭
違背,위배
p,275
言論人,언론인
記者,기자
提言,제언
强勸,강권
速報,속보
p,276
濫發,남발
配慮,배려
惰性,타성
公人,공인
感興,감흥
量産,양산
p,277
敎授,교수
講座,강좌
運動,운동
爲主,위주
接木,접목
p,278
皮相的,피상적
公募,공모
深化,심화
專攻,전공
敎養,교양
運營,운영
規格,규격
認識,인식
p,279
持續,지속
加減,가감
成就,성취
添附,첨부
交流,교류
助言,조언
逢着,봉착
思索,사색
p,280
偏狹,편협
熟知,숙지
直觀,직관
融通性,융통성
連繫,연계
照會,조회
p,281
古典,고전
力學,역학
p,286
一次,일차
主張,주장
窮極,궁극
說得,설득
變化,변화
誘導,유도
行動,행동
誘發,유발
論說,논설
論述,논술
點檢,점검
對話,대화
話者,화자
聽者,청자
關係,관계
達成,달성
與否,여부
時評,시평
學術,학술
論文,논문
代表,대표
要旨,요지
事案,사안
爭點,쟁점
有效,유효
證據,증거
要件,요건
p,287
不可分,불가분
廣告,광고
演說,연설
朗讀,낭독
聽衆,청중
p,288
喚起,환기
倍加,배가
序論,서론
本論,본론
結論,결론
驅使,구사
左右,좌우
衝動,충동
呼訴,호소
指向,지향
